contributor_id,movie_id
19158,19995
6945,285
89059,206647
47647,49026
60660,49529
78546,559
4740,38757
88963,38757
248,99861
9438,767
34877,209112
92802,1452
49955,10764
6945,58
6945,57201
34877,49521
42240,2454
248,24428
53932,1865
60133,41154
100546,122917
44851,1930
5511,20662
100546,57158
20582,2268
100546,254
19158,597
65173,271110
45671,271110
86459,44833
69172,135397
89059,37724
78546,558
35211,68721
63110,12155
2083,36668
78855,62211
9594,8373
9594,91314
78546,68728
44851,102382
69197,20526
40154,49013
69911,49013
4359,44912
9127,10193
65364,534
40158,168259
49955,72190
92802,127585
31560,54138
92802,81005
85946,64682
22116,9543
64953,68726
9594,38356
94167,217
48261,105864
2413,62177
13575,62177
3305,62177
4044,188927
60660,10681
2083,5174
98831,14161
45473,17979
88675,76757
38088,76757
9438,258489
42240,411
92802,246655
47647,155
10656,14160
10724,15512
36665,15512
50501,1726
53322,44826
60133,8487
100477,1735
73262,297761
38523,2698
100447,137113
56433,9804
654,14869
10656,150540
50501,278927
50501,10138
1966,58595
82414,102651
88643,119450
22601,79698
72261,64686
65173,100402
45671,100402
91714,10192
26355,158852
45036,177572
39021,177572
20755,82690
45473,5255
98831,47933
1963,10191
78008,10191
102524,296
83872,118340
47647,157336
47647,27205
18729,315011
39220,315011
100546,49051
100477,9799
18824,4922
13302,49538
18044,131634
82179,27022
40952,503
7345,241259
91400,810
58422,810
38271,68735
98210,87101
72470,10140
9594,676
9594,1858
6112,1966
9438,675
22116,674
86459,8960
18044,6479
63110,118
97976,2062
26355,2062
47647,272
25568,10527
23774,10527
14896,18360
16683,2080
88675,605
38088,605
52849,109445
74805,109445
88675,604
38088,604
98210,76338
42814,76341
74310,13448
89368,10195
45036,13053
4740,13053
13191,19585
41997,57165
63110,62213
33088,177677
96978,7978
60567,5559
48096,5559
25735,49444
13247,10196
31560,956
98831,117251
81525,50321
29122,11619
50463,11619
76844,266647
52499,82703
40952,652
10724,80321
25568,80321
23774,80321
82981,36669
90918,43074
9594,95
60133,608
45473,2310
25735,140300
99806,140300
26355,56292
66144,81188
53190,7552
55163,616
5511,147441
31560,13475
78546,557
78008,82702
90320,205584
100477,10048
34877,13183
40321,944
46146,1927
5118,72559
50770,7364
9849,2114
33837,2114
96978,1771
72470,36643
88712,8619
62683,50620
42814,65759
57981,1724
94167,267935
18769,281957
61372,77950
6945,44896
25568,270946
48096,270946
53981,2503
78080,9502
52303,9502
66647,102899
18044,101299
79896,228161
94167,74
9594,8961
91400,417859
26479,27576
74906,86834
94167,17578
73548,673
85946,6972
13247,82700
69594,10567
92566,10567
14896,181533
23774,38055
16642,671
24145,49524
6945,22
18044,131631
74310,591
8021,172385
92802,36658
4044,51497
24074,58574
57981,18823
71027,861
94290,1911
76662,49040
9810,415
74310,8871
98831,435
21403,955
40952,2133
74022,1979
46146,87827
37767,1250
53981,324668
65364,9471
5511,70981
52499,10996
66913,68724
6824,2789
62562,97020
88675,7459
38088,7459
40296,42888
37766,37834
69197,75612
8931,1895
8931,1894
10656,585
37766,76170
8931,1893
1963,49519
101561,49519
45797,2395
16468,2395
21403,12100
10838,290595
41997,98566
73548,49047
3952,9619
57005,308531
35561,166424
14896,1593
101731,254128
72412,714
98831,2024
60891,163
100447,787
24145,262500
53322,2567
36665,38745
81896,40805
97565,53182
101486,41513
8477,13700
18878,13700
24145,262504
14896,39254
101486,77931
10719,1639
16683,80274
49585,1571
100546,120
36740,10204
10927,8489
76273,10588
90320,2048
5511,1495
52499,10137
87439,10198
87928,10198
5511,286217
9594,1635
40776,24113
98139,9679
5511,98
94167,180
16642,672
4359,36557
63110,869
19158,280
10927,11322
5511,4982
19158,36955
8156,18487
35280,39451
95399,27581
42661,9268
4477,68718
51098,10545
78362,10545
53314,11688
28091,76163
82179,2059
95195,2486
21651,16523
8682,116711
20636,37710
30224,9946
55163,1372
53322,106646
9810,414
71027,563
65223,83542
88675,83542
38088,83542
34877,41216
39270,314
2083,184315
87439,9016
87928,9016
96118,18162
54621,138103
67721,257088
100984,10214
74310,205775
26322,11692
53981,22972
67019,227973
56885,29193
654,1734
53322,3131
66460,76758
91751,9408
52849,9408
69919,9890
5511,855
36561,77953
47175,18
14862,37786
46646,10501
766,10501
67019,57800
37289,57800
89368,150689
100546,7980
60660,12
100546,122
100546,121
95205,68737
28091,1995
88475,157353
96978,331
16915,61791
49484,8204
74170,47964
27979,10733
26355,9806
13484,1408
16642,32657
60133,607
40154,863
8156,44048
2083,5175
45473,2655
42197,22794
38642,22794
8021,8355
88335,116745
65364,4327
53322,1422
79898,10674
29495,10674
88335,7446
18824,65754
94290,1572
24074,10528
37653,271969
51098,10865
78362,10865
102389,258509
92802,2253
22238,10661
16642,257344
94167,644
52499,10756
45473,686
71027,9383
92352,179
39438,76285
10719,1996
5118,291805
26479,10003
8156,1535
26924,2067
8021,46195
16642,2277
12090,10357
42765,4477
20829,8665
65507,9387
74310,921
28156,49852
44507,4464
10719,664
45473,8358
42814,9836
53981,2502
40952,9772
60891,161
23715,52451
46848,76492
77394,4523
38728,59961
77394,10481
2083,59108
13342,1581
8156,9798
13342,22897
60891,298
30825,7484
9253,7484
42213,7484
86832,157350
39914,853
86459,10159
94290,9593
53932,1904
4044,9615
29495,51052
56904,51052
18584,297
16347,9884
78107,16858
44964,62764
9407,22538
39327,9341
26834,12107
101486,9637
578,49049
36740,9339
52745,16281
101731,39691
100447,8247
64953,11253
18824,1949
72412,8452
38523,310
9720,27578
26924,954
44507,70160
41915,45243
63110,364
13085,7518
79896,7518
1963,11544
78008,11544
44708,9986
15225,8656
53190,146216
26834,9291
91714,55301
22238,109418
26834,11665
13342,6964
53322,11324
76992,12193
8682,9928
8021,9928
21403,754
100919,10202
89059,4147
22238,50546
28091,1701
5971,13027
2637,2289
85001,20504
35671,20504
5864,9574
10719,11618
99235,2300
14896,12096
65995,10200
40321,8834
73262,228150
75337,6068
15448,41515
57360,9023
46960,9023
36740,38317
81773,2157
38964,14462
98649,161795
46848,159824
79032,49948
2744,49948
76496,49948
37570,49948
81608,49948
47640,49948
50766,49948
28983,49948
81525,2135
26322,9822
98139,9705
4359,1656
2444,12159
6099,9678
102059,4442
63110,75
78958,330770
82981,9433
102524,19959
3952,11973
100477,11228
29495,77951
51819,77951
87437,5491
85648,10715
53932,10197
40321,9562
30699,9922
42814,9447
50770,274854
71567,8870
47175,9992
