movie_id,release_date,host_id
19995,2009-12-10,42
285,2007-05-19,42
206647,2015-10-26,42
49026,2012-07-16,42
49529,2012-03-07,42
559,2007-05-01,42
38757,2010-11-24,42
99861,2015-04-22,42
767,2009-07-07,42
209112,2016-03-23,42
1452,2006-06-28,42
10764,2008-10-30,42
58,2006-06-20,42
57201,2013-07-03,42
49521,2013-06-12,42
2454,2008-05-15,42
24428,2012-04-25,42
1865,2011-05-14,42
41154,2012-05-23,42
122917,2014-12-10,42
1930,2012-06-27,42
20662,2010-05-12,42
57158,2013-12-11,42
2268,2007-12-04,42
254,2005-12-14,42
597,1997-11-18,42
271110,2016-04-27,42
44833,2012-04-11,42
135397,2015-06-09,42
37724,2012-10-25,42
558,2004-06-25,42
68721,2013-04-18,42
12155,2010-03-03,42
36668,2006-05-24,42
62211,2013-06-20,42
8373,2009-06-19,42
91314,2014-06-25,42
68728,2013-03-07,42
102382,2014-04-16,42
20526,2010-12-10,42
49013,2011-06-11,42
44912,2011-06-16,42
10193,2010-06-16,42
534,2009-05-20,42
168259,2015-04-01,42
72190,2013-06-20,42
127585,2014-05-15,42
54138,2013-05-05,42
81005,2013-02-27,42
64682,2013-05-10,42
9543,2010-05-19,42
68726,2013-07-11,42
38356,2011-06-28,42
217,2008-05-21,42
105864,2015-11-14,42
62177,2012-06-21,42
188927,2016-07-07,42
10681,2008-06-22,42
5174,2007-08-08,42
14161,2009-10-10,42
17979,2009-11-04,42
76757,2015-02-04,42
258489,2016-06-29,42
411,2005-12-07,42
246655,2016-05-18,42
155,2008-07-16,42
14160,2009-05-13,42
15512,2009-03-19,42
1726,2008-04-30,42
44826,2011-11-22,42
8487,1999-06-29,42
1735,2008-07-01,42
297761,2016-08-02,42
2698,2007-06-09,42
137113,2014-05-27,42
9804,1995-07-28,42
14869,2009-08-04,42
150540,2015-06-09,42
278927,2016-04-07,42
10138,2010-04-28,42
58595,2012-05-30,42
102651,2014-05-28,42
119450,2014-06-26,42
79698,2015-02-13,42
64686,2013-12-06,42
100402,2014-03-20,42
10192,2010-05-16,42
158852,2015-05-19,42
177572,2014-10-24,42
82690,2012-11-01,42
5255,2004-11-10,42
47933,2016-06-22,42
10191,2010-03-05,42
296,2003-07-02,42
118340,2014-07-30,42
157336,2014-11-05,42
27205,2010-07-14,42
315011,2016-07-29,42
49051,2012-11-26,42
9799,2001-06-22,42
4922,2008-11-24,42
49538,2011-05-24,42
131634,2015-11-18,42
27022,2010-07-13,42
503,2006-05-12,42
241259,2016-05-25,42
810,2007-05-17,42
68735,2016-05-25,42
87101,2015-06-23,42
10140,2010-08-13,42
676,2001-05-21,42
1858,2007-06-27,42
1966,2004-11-21,42
675,2007-06-28,42
674,2005-11-05,42
8960,2008-07-01,42
6479,2007-12-14,42
118,2005-07-13,42
2062,2007-06-22,42
272,2005-06-10,42
10527,2008-10-30,42
18360,2009-05-20,42
2080,2009-04-28,42
605,2003-11-05,42
109445,2013-11-27,42
604,2003-05-15,42
76338,2013-10-29,42
76341,2015-05-13,42
13448,2009-05-13,42
10195,2011-04-21,42
13053,2008-11-21,42
19585,2009-07-21,42
57165,2012-03-27,42
62213,2012-05-08,42
177677,2015-07-23,42
7978,2010-02-11,42
5559,2007-10-28,42
49444,2011-05-25,42
10196,2010-06-30,42
956,2006-05-03,42
117251,2013-06-27,42
50321,2011-03-09,42
11619,2006-10-22,42
266647,2015-09-24,42
82703,2014-02-07,42
652,2004-05-13,42
80321,2012-06-06,42
36669,2002-11-17,42
43074,2016-07-14,42
95,1998-07-01,42
608,2002-07-03,42
2310,2007-11-05,42
140300,2016-01-23,42
56292,2011-12-07,42
81188,2012-11-21,42
7552,2005-12-21,42
616,2003-12-05,42
147441,2014-12-03,42
13475,2009-05-06,42
557,2002-05-01,42
82702,2014-06-12,42
205584,2016-02-25,42
10048,2005-07-28,42
13183,2009-03-05,42
944,1998-07-10,42
1927,2003-06-19,42
72559,2013-03-26,42
7364,2005-04-06,42
2114,2001-07-02,42
1771,2011-07-22,42
36643,1999-11-08,42
8619,2003-11-14,42
50620,2012-11-13,42
65759,2011-11-17,42
1724,2008-06-12,42
267935,2016-06-01,42
281957,2015-12-25,42
77950,2013-07-11,42
44896,2011-03-02,42
270946,2014-11-22,42
2503,2007-08-03,42
9502,2008-06-04,42
102899,2015-07-14,42
101299,2013-11-15,42
228161,2015-03-18,42
74,2005-06-28,42
8961,2003-07-18,42
417859,2011-10-28,42
27576,2010-07-21,42
86834,2014-03-20,42
17578,2011-10-25,42
673,2004-05-31,42
6972,2008-11-18,42
82700,2013-05-30,42
10567,2000-05-19,42
181533,2014-12-17,42
38055,2010-10-28,42
671,2001-11-16,42
49524,2013-07-18,42
22,2003-07-09,42
131631,2014-11-18,42
591,2006-05-17,42
172385,2014-03-19,42
36658,2003-04-24,42
51497,2011-04-20,42
58574,2011-11-22,42
18823,2010-04-01,42
861,1990-06-01,42
1911,1999-08-27,42
49040,2012-08-08,42
415,1997-06-20,42
8871,2000-11-17,42
435,2004-05-26,42
955,2000-05-24,42
2133,2000-03-15,42
1979,2007-06-13,42
87827,2012-11-20,42
1250,2007-02-16,42
324668,2016-07-27,42
9471,2003-06-27,42
70981,2012-05-30,42
10996,2002-07-19,42
68724,2013-08-07,42
2789,2004-06-11,42
97020,2014-01-30,42
7459,2008-05-09,42
42888,2010-12-17,42
37834,2010-06-15,42
75612,2013-04-10,42
1895,2005-05-17,42
1894,2002-05-15,42
585,2001-11-01,42
76170,2013-07-23,42
1893,1999-05-19,42
49519,2013-03-20,42
2395,2008-01-13,42
12100,2002-06-14,42
290595,2016-04-06,42
98566,2014-08-07,42
49047,2013-09-27,42
9619,1997-02-07,42
308531,2016-06-01,42
166424,2015-08-05,42
1593,2006-10-20,42
254128,2015-05-27,42
714,1997-12-11,42
2024,2000-06-28,42
163,2004-12-09,42
787,2005-06-07,42
262500,2015-03-18,42
2567,2004-12-17,42
38745,2010-12-25,42
40805,2011-01-12,42
53182,2014-03-05,42
41513,2011-07-29,42
13700,2004-04-02,42
262504,2016-03-09,42
39254,2011-09-28,42
77931,2013-07-30,42
1639,1997-06-13,42
80274,2013-10-23,42
1571,2007-06-20,42
120,2001-12-18,42
10204,2004-06-16,42
8489,2001-12-11,42
10588,2003-11-21,42
2048,2004-07-15,42
1495,2005-05-03,42
10137,1999-12-17,42
10198,2009-12-08,42
286217,2015-09-30,42
1635,2005-07-20,42
24113,2001-04-27,42
9679,2000-06-09,42
98,2000-05-01,42
180,2002-06-20,42
672,2002-11-13,42
36557,2006-11-14,42
869,2001-07-25,42
280,1991-07-01,42
11322,2009-07-01,42
4982,2007-11-02,42
36955,1994-07-14,42
18487,2009-06-11,42
39451,2010-12-21,42
27581,2010-08-06,42
9268,1996-06-21,42
68718,2012-12-25,42
10545,1996-06-21,42
11688,2000-12-09,42
76163,2012-08-08,42
2059,2004-11-19,42
2486,2006-12-14,42
16523,2009-10-16,42
116711,2013-05-15,42
37710,2010-12-08,42
9946,1999-11-24,42
1372,2006-12-07,42
106646,2013-12-25,42
414,1995-05-31,42
563,1997-11-06,42
83542,2012-10-26,42
41216,2010-07-10,42
314,2004-07-22,42
184315,2014-07-23,42
9016,2002-11-26,42
18162,2009-06-05,42
138103,2014-08-04,42
257088,2015-12-03,42
10214,2005-02-18,42
205775,2015-11-20,42
11692,2002-08-15,42
22972,2010-03-11,42
227973,2015-11-05,42
29193,1997-09-08,42
1734,2001-04-28,42
3131,2002-12-14,42
76758,2011-12-15,42
9408,2007-06-08,42
9890,2004-06-10,42
855,2001-12-28,42
77953,2012-08-09,42
18,1997-05-07,42
37786,2010-05-26,42
10501,2000-03-31,42
57800,2012-06-26,42
150689,2015-03-12,42
7980,2009-12-26,42
12,2003-05-30,42
122,2003-12-01,42
121,2002-12-18,42
68737,2014-12-12,42
1995,2001-06-11,42
157353,2014-04-16,42
331,2001-07-18,42
61791,2011-08-03,42
8204,2008-02-14,42
47964,2013-02-06,42
10733,2004-04-07,42
9806,2004-11-05,42
1408,1995-12-22,42
32657,2010-02-01,42
607,1997-07-02,42
863,1999-10-30,42
44048,2010-11-04,42
5175,2001-08-03,42
2655,2000-07-21,42
22794,2009-09-17,42
8355,2009-06-29,42
116745,2013-12-18,42
4327,2000-11-02,42
1422,2006-10-05,42
10674,1998-06-18,42
7446,2008-08-09,42
65754,2011-12-14,42
1572,1995-05-19,42
10528,2009-12-23,42
271969,2016-08-17,42
10865,2001-06-02,42
258509,2015-12-17,42
2253,2008-12-25,42
10661,2008-06-05,42
257344,2015-07-16,42
644,2001-06-29,42
10756,2003-11-25,42
686,1997-07-11,42
9383,2000-08-04,42
179,2005-04-08,42
76285,2013-08-07,42
1996,2003-07-21,42
291805,2016-06-02,42
10003,1997-04-03,42
